City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Zhiryatino,RU,53.2228,33.7306,30.52,93,100,12.62,overcast clouds
138,Kodiak,US,57.79,-152.4072,18.28,57,90,18.41,overcast clouds
139,Aklavik,CA,68.2191,-135.0107,-0.4,78,90,16.11,overcast clouds
140,Cayenne,GF,4.9333,-52.3333,77.09,89,75,3.0,light rain
141,Voh,NC,-20.9667,164.7,84.67,66,99,4.63,light rain
142,Novoagansk,RU,61.9449,76.6625,3.34,92,100,12.53,overcast clouds
143,Carnarvon,AU,-24.8667,113.6333,69.87,68,90,14.97,overcast clouds
144,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,90,12.01,light rain
145,Butaritari,KI,3.0707,172.7902,82.58,75,100,16.73,overcast clouds
146,Lavrentiya,RU,65.5833,-171.0,-14.67,85,11,8.3,few clouds
147,Mayo,US,38.8876,-76.5119,71.58,83,75,5.01,light rain
148,Benton Harbor,US,42.1167,-86.4542,40.32,63,90,21.85,overcast clouds
149,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,40,11.5,scattered clouds
150,Muros,ES,42.7762,-9.0603,56.98,94,98,2.33,overcast clouds
151,Poso,ID,-1.3959,120.7524,76.48,87,82,3.47,broken clouds
152,Nome,US,64.5011,-165.4064,-7.53,71,40,17.27,scattered clouds
153,Acarau,BR,-2.8856,-40.12,81.1,77,3,16.82,clear sky
154,Vrangel,RU,42.7297,133.0839,34.65,66,52,18.01,moderate rain
155,Geraldton,AU,-28.7667,114.6,64.81,72,90,8.05,overcast clouds
156,Severo-Kurilsk,RU,50.6789,156.125,33.35,96,100,16.08,snow
157,Mao,ES,39.8885,4.2658,52.36,54,0,17.27,clear sky
158,Provideniya,RU,64.3833,-173.3,-8.41,79,1,8.7,clear sky
159,Zlatoust,RU,55.1711,59.6508,4.59,95,10,2.89,clear sky
160,North Myrtle Beach,US,33.816,-78.68,77.29,88,1,13.8,clear sky
161,Ilulissat,GL,69.2167,-51.1,15.82,67,100,4.61,overcast clouds
162,Balkanabat,TM,39.5108,54.3671,49.24,75,0,3.0,clear sky
163,Playa Del Carmen,MX,20.6274,-87.0799,85.95,75,40,10.36,scattered clouds
164,San Patricio,US,28.017,-97.5169,64.81,29,99,17.16,overcast clouds
165,Luganville,VU,-15.5333,167.1667,84.16,76,95,6.78,overcast clouds
166,Roseburg,US,43.2165,-123.3417,50.67,70,75,12.66,broken clouds
167,Robertsport,LR,6.7533,-11.3686,82.04,78,40,9.91,scattered clouds
168,Jining,CN,35.405,116.5814,44.85,48,100,11.54,overcast clouds
169,Shimoda,JP,34.6667,138.95,47.1,79,13,11.79,few clouds
170,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,18.41,few clouds
171,Fortuna,US,40.5982,-124.1573,48.92,74,40,1.99,light rain
172,Nabire,ID,-3.3667,135.4833,77.76,89,100,2.91,overcast clouds
173,Takoradi,GH,4.8845,-1.7554,80.56,84,45,7.0,scattered clouds
174,Uvira,CD,-3.4067,29.1458,74.57,85,100,6.33,light rain
175,Selma,US,36.5708,-119.6121,61.02,71,46,2.46,scattered clouds
176,Kendallville,US,41.4414,-85.265,37.65,80,90,9.22,overcast clouds
177,Plettenberg Bay,ZA,-34.0527,23.3716,64.0,77,95,2.53,overcast clouds
178,Richards Bay,ZA,-28.783,32.0377,76.1,89,100,10.83,overcast clouds
179,Diu,IN,20.7141,70.9822,72.99,57,0,8.3,clear sky
180,Kirakira,SB,-10.4544,161.9205,82.87,83,100,9.66,moderate rain
181,Bucerias,MX,20.75,-105.3333,80.58,69,40,11.5,scattered clouds
182,Portland,US,45.5234,-122.6762,49.75,93,90,4.0,light rain
183,Heiligenhafen,DE,54.3667,10.9833,38.82,93,80,8.57,broken clouds
184,Port Alfred,ZA,-33.5906,26.891,69.67,89,93,5.88,overcast clouds
185,Pampa,US,35.5362,-100.9599,50.04,17,1,11.5,clear sky
186,Tura,IN,25.5198,90.2201,55.26,58,0,4.12,clear sky
187,Beidao,CN,34.5686,105.8933,29.95,77,52,0.89,broken clouds
188,Pemangkat,ID,1.1667,108.9667,77.38,89,70,6.08,broken clouds
189,Deputatskiy,RU,69.3,139.9,-25.64,100,99,1.36,overcast clouds
190,Cabo San Lucas,MX,22.8909,-109.9124,79.9,64,42,8.01,scattered clouds
191,Rio Gallegos,AR,-51.6226,-69.2181,55.45,67,75,11.5,broken clouds
192,Esperance,AU,-33.8667,121.9,53.44,71,36,13.67,scattered clouds
193,Wageningen,NL,51.9667,5.6667,42.94,95,90,9.22,mist
194,Victoria,HK,22.2855,114.1577,68.32,88,0,1.99,clear sky
195,Yulin,CN,22.6333,110.15,63.81,65,25,2.86,scattered clouds
196,Nanortalik,GL,60.1432,-45.2371,27.05,81,100,24.65,overcast clouds
197,Hervey Bay,AU,-25.2986,152.8535,83.03,63,4,18.59,clear sky
198,Port Hardy,CA,50.6996,-127.4199,39.76,100,90,6.91,light intensity shower rain
199,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,12.66,light snow
200,Bethel,US,41.3712,-73.414,60.31,92,100,4.0,overcast clouds
201,Caravelas,BR,-17.7125,-39.2481,74.55,92,18,5.46,few clouds
202,Boffa,GN,10.1667,-14.0333,79.5,82,82,2.64,broken clouds
203,Bengkulu,ID,-3.8004,102.2655,75.07,93,99,4.65,overcast clouds
204,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,90,10.36,overcast clouds
205,Tecate,MX,32.5667,-116.6333,66.6,24,2,3.29,clear sky
206,Yulara,AU,-25.2406,130.9889,75.04,25,91,8.05,overcast clouds
207,Arona,ES,28.0996,-16.681,63.39,65,20,1.01,few clouds
208,Boves,IT,44.332,7.5514,44.44,44,4,5.5,clear sky
209,Lewiston,US,44.1003,-70.2148,47.66,100,90,0.0,mist
210,Kristianstad,SE,56.0313,14.1524,33.55,100,90,1.01,overcast clouds
211,Palmer,US,42.1584,-72.3287,59.72,84,100,5.99,overcast clouds
212,Leningradskiy,RU,69.3833,178.4167,-27.38,91,43,7.4,scattered clouds
213,Thompson,CA,55.7435,-97.8558,-3.84,71,1,4.61,clear sky
214,Kambove,CD,-10.8764,26.5969,66.76,65,45,3.83,scattered clouds
215,Doctor Phillips,US,28.4495,-81.4923,84.31,63,40,6.91,scattered clouds
216,Nieuw Amsterdam,SR,5.8833,-55.0833,82.56,79,20,16.11,few clouds
217,Mocajuba,BR,-2.5842,-49.5072,77.97,87,38,2.89,scattered clouds
218,Katsuura,JP,35.1333,140.3,50.14,68,63,12.62,broken clouds
219,Kaitangata,NZ,-46.2817,169.8464,55.92,49,52,5.12,broken clouds
220,Hasaki,JP,35.7333,140.8333,43.2,62,67,10.49,broken clouds
221,Ojinaga,MX,29.5667,-104.4167,67.57,25,1,0.0,clear sky
222,Celestun,MX,20.8667,-90.4,80.85,75,60,13.78,broken clouds
223,Ayan,RU,56.45,138.1667,12.45,73,100,10.56,overcast clouds
224,Cherskiy,RU,68.75,161.3,-45.17,100,41,4.25,scattered clouds
225,Evensk,RU,61.95,159.2333,-8.7,70,26,9.86,scattered clouds
226,Tabou,CI,4.423,-7.3528,80.04,81,88,8.63,overcast clouds
227,Limbang,MY,4.75,115.0,77.31,97,99,1.19,overcast clouds
228,Adur,IN,9.1667,76.7333,71.89,89,12,2.71,few clouds
229,Rettikhovka,RU,44.1683,132.7669,25.48,96,97,7.16,light snow
230,Broome,US,42.2506,-75.833,59.58,75,90,3.0,overcast clouds
231,Rocha,UY,-34.4833,-54.3333,68.59,67,12,10.2,few clouds
232,Mandera,KE,3.9366,41.867,82.65,33,4,7.0,clear sky
233,Melito Di Porto Salvo,IT,37.9222,15.7714,55.29,67,75,14.97,moderate rain
234,San Cristobal,VE,7.7669,-72.225,75.38,77,47,4.0,scattered clouds
235,Saldanha,ZA,-33.0117,17.9442,61.9,83,32,4.03,scattered clouds
236,Clyde River,CA,70.4692,-68.5914,-3.77,92,75,13.8,broken clouds
237,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,80,75,6.71,broken clouds
238,Kruisfontein,ZA,-34.0033,24.7314,63.88,73,83,4.5,broken clouds
239,Hami,CN,42.8,93.45,21.31,45,0,3.62,clear sky
240,Port Blair,IN,11.6667,92.75,79.47,76,12,11.43,few clouds
241,Praia,CV,14.9215,-23.5087,73.94,73,0,16.11,clear sky
242,Luderitz,NA,-26.6481,15.1594,60.53,83,3,10.94,clear sky
243,Koumac,NC,-20.5667,164.2833,81.23,76,100,4.65,overcast clouds
244,Kerman,IR,30.2832,57.0788,35.46,38,0,4.61,clear sky
245,Karratha,AU,-20.7377,116.8463,89.67,26,46,15.03,scattered clouds
246,Pisco,PE,-13.7,-76.2167,71.65,73,0,21.85,clear sky
247,Chulym,RU,55.0997,80.9572,2.28,98,100,4.36,overcast clouds
248,Ahipara,NZ,-35.1667,173.1667,69.03,94,100,6.67,moderate rain
249,Port Lincoln,AU,-34.7333,135.8667,72.1,50,10,11.1,clear sky
250,San Lorenzo,PY,-25.3333,-57.5333,88.74,48,75,6.91,broken clouds
251,Teya,RU,60.3778,92.6267,9.9,93,100,5.32,overcast clouds
252,Sorkjosen,NO,69.8,20.9333,29.48,69,100,11.52,overcast clouds
253,Port-Gentil,GA,-0.7193,8.7815,76.96,88,20,5.75,light rain
254,Agadez,NE,19.75,10.25,62.49,11,84,5.79,broken clouds
255,Selenice,AL,40.5306,19.6358,46.18,87,100,5.88,overcast clouds
256,Mana,GF,5.6592,-53.7767,77.83,88,96,8.55,overcast clouds
257,Ixtapa,MX,20.7,-105.2,79.83,69,40,11.5,scattered clouds
258,Hangu,CN,39.2489,117.7892,32.05,34,29,12.08,scattered clouds
259,Saint George,US,37.1041,-113.5841,52.27,32,1,3.0,clear sky
260,Zhezkazgan,KZ,47.8043,67.7144,30.25,95,100,4.79,overcast clouds
261,Centerville,US,39.6284,-84.1594,39.11,73,90,13.8,overcast clouds
262,Olafsvik,IS,64.8945,-23.7142,40.5,82,100,19.35,overcast clouds
263,Ygatimi,PY,-24.0833,-55.5,87.12,29,100,2.64,overcast clouds
264,Ramhormoz,IR,31.28,49.6035,60.82,50,0,5.84,clear sky
265,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,17.27,scattered clouds
266,Kasempa,ZM,-13.4584,25.8338,75.47,37,84,5.75,broken clouds
267,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.56,87,98,3.09,light rain
268,Mikhaylovka,RU,50.06,43.2379,27.79,73,98,7.72,overcast clouds
269,Fare,PF,-16.7,-151.0167,80.98,72,8,10.36,clear sky
270,Faanui,PF,-16.4833,-151.75,80.98,72,17,10.98,few clouds
271,Kulhudhuffushi,MV,6.6221,73.07,81.21,74,91,10.38,overcast clouds
272,Tuy Hoa,VN,13.0833,109.3,71.49,91,100,6.76,overcast clouds
273,Formosa,AR,-26.1775,-58.1781,80.58,74,90,13.8,overcast clouds
274,Joshimath,IN,30.5667,79.5667,38.7,27,33,9.48,scattered clouds
275,Crateus,BR,-5.1783,-40.6775,91.85,31,51,5.53,broken clouds
276,Chokurdakh,RU,70.6333,147.9167,-47.54,100,82,2.21,broken clouds
277,Bud,US,39.447,-86.1758,39.22,74,56,17.11,broken clouds
278,Kavaratti,IN,10.5669,72.642,80.76,73,6,8.16,clear sky
279,Severo-Yeniseyskiy,RU,60.3725,93.0408,6.96,94,100,6.55,overcast clouds
280,Sitka,US,57.0531,-135.33,31.89,80,75,5.75,light snow
281,Urgut,UZ,39.4022,67.2431,38.82,47,71,2.91,broken clouds
282,Semnan,IR,35.5729,53.3971,43.18,47,0,2.04,clear sky
283,Pochutla,MX,15.7432,-96.4661,86.83,55,23,7.02,few clouds
284,Bhuban,IN,20.8833,85.8333,66.97,81,4,1.86,clear sky
285,Charters Towers,AU,-20.1,146.2667,81.66,61,2,10.51,clear sky
286,Saint Andrews,US,34.0454,-81.1293,74.98,76,75,4.0,broken clouds
287,Kargasok,RU,59.0556,80.8572,-0.35,97,96,8.52,overcast clouds
288,Batagay,RU,67.6333,134.6333,-24.41,100,100,0.27,overcast clouds
289,Kroya,ID,-7.6331,109.2461,76.19,89,100,2.53,overcast clouds
290,Inirida,CO,3.8653,-67.9239,76.91,94,100,1.74,overcast clouds
291,Paita,PE,-5.0892,-81.1144,72.16,82,98,13.31,overcast clouds
292,Flin Flon,CA,54.7682,-101.865,13.84,85,90,5.75,overcast clouds
293,Rawson,AR,-43.3002,-65.1023,75.49,41,40,17.27,scattered clouds
294,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.39,79,90,16.11,light snow
295,Shingu,JP,33.7333,135.9833,50.7,81,23,5.82,few clouds
296,Miri,MY,4.4148,114.0089,75.34,100,20,0.0,few clouds
297,Kudat,MY,6.8837,116.8477,75.29,100,20,3.44,few clouds
298,Saskatoon,CA,52.1168,-106.6345,35.58,64,1,15.01,clear sky
299,Joao Pinheiro,BR,-17.7425,-46.1725,76.35,65,100,5.17,overcast clouds
300,Talnakh,RU,69.4865,88.3972,-20.79,81,86,1.88,overcast clouds
301,Qingdao,CN,36.0986,120.3719,40.6,75,100,13.42,overcast clouds
302,Kismayo,SO,-0.3582,42.5454,80.15,79,13,14.18,few clouds
303,Henties Bay,NA,-22.116,14.2845,60.85,87,34,2.84,scattered clouds
304,Pangnirtung,CA,66.1451,-65.7125,-12.68,85,7,4.52,clear sky
305,Moen,NO,69.1304,18.6123,23.45,87,100,4.85,overcast clouds
306,Pedernales,DO,18.0384,-71.744,81.25,68,0,6.04,clear sky
307,Shetpe,KZ,44.1667,52.1167,33.6,85,94,8.61,overcast clouds
308,Ancona,IT,43.55,13.1667,48.42,63,71,24.16,broken clouds
309,Coihaique,CL,-45.5752,-72.0662,61.41,51,75,5.75,broken clouds
310,Vila Do Maio,CV,15.1333,-23.2167,74.19,69,73,15.5,broken clouds
311,Xichang,CN,27.8964,102.2634,42.37,89,100,5.28,overcast clouds
312,Muli,MV,2.9167,73.5667,77.86,87,100,17.05,overcast clouds
313,Essex,US,40.7834,-74.2163,66.83,81,90,1.99,overcast clouds
314,Ancud,CL,-41.8697,-73.8203,53.13,83,60,18.9,light rain
315,Amapa,BR,1.0,-52.0,74.61,97,100,2.93,overcast clouds
316,Simbach,DE,48.5667,12.75,35.82,93,98,6.49,overcast clouds
317,Tarbes,FR,43.25,0.1667,46.26,93,90,4.61,overcast clouds
318,Husavik,IS,66.0449,-17.3389,42.71,78,42,24.09,scattered clouds
319,Tarakan,ID,3.3,117.6333,76.5,94,90,8.05,heavy intensity rain
320,Key Largo,US,25.0865,-80.4473,82.4,75,8,9.17,clear sky
321,Atbasar,KZ,51.8,68.3333,13.69,88,100,13.56,overcast clouds
322,Margate,GB,51.3813,1.3862,50.97,90,100,3.0,overcast clouds
323,Guerrero Negro,MX,27.9769,-114.0611,69.84,41,0,5.39,clear sky
324,Belmonte,BR,-15.8631,-38.8828,79.3,87,9,8.05,clear sky
325,Lithakia,GR,37.7167,20.8333,57.58,69,78,29.39,broken clouds
326,Spearfish,US,44.4908,-103.8594,39.85,39,1,10.0,clear sky
327,Padang,ID,-0.9492,100.3543,75.25,87,96,4.36,overcast clouds
328,The Valley,AI,18.217,-63.0578,84.06,74,40,16.11,scattered clouds
329,Grandview,US,38.8858,-94.533,47.98,38,1,3.0,clear sky
330,Byron Bay,AU,-28.65,153.6167,76.05,74,93,11.21,light rain
331,Davila,PH,18.4726,120.5763,71.58,84,37,16.96,scattered clouds
332,Bahia Blanca,AR,-38.7196,-62.2724,88.11,31,8,4.25,clear sky
333,La Macarena,CO,2.1837,-73.7849,84.34,55,63,5.26,broken clouds
334,Inndyr,NO,67.0338,14.0276,37.44,79,99,7.27,light rain
335,Lao Cai,VN,22.4833,103.95,64.42,96,87,0.47,overcast clouds
336,Gamba,GA,-2.65,10.0,75.34,96,100,4.36,light rain
337,Tautira,PF,-17.7333,-149.15,86.02,76,64,10.87,broken clouds
