City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
56,Linhares,BR,2021-12-11 16:32:49,-19.3911,-40.0722,81.59,75,65,5.53
57,Kedrovyy,RU,2021-12-11 16:32:49,56.1667,91.8167,21.87,95,100,10.58
58,Jos,NG,2021-12-11 16:32:49,9.9167,8.9,78.1,21,48,6.15
59,Araouane,ML,2021-12-11 16:32:49,18.9048,-3.5265,79.23,5,1,8.37
60,Tumpat,MY,2021-12-11 16:32:50,6.1978,102.171,80.58,78,40,6.91
61,Saldanha,ZA,2021-12-11 16:32:50,-33.0117,17.9442,64.42,75,51,7.16
62,Westport,US,2021-12-11 16:32:50,41.1415,-73.3579,57.79,97,90,1.01
63,Georgetown,MY,2021-12-11 16:31:59,5.4112,100.3354,82.89,76,20,1.01
64,Saint-Philippe,RE,2021-12-11 16:32:51,-21.3585,55.7679,78.39,77,51,10.47
65,Altay,CN,2021-12-11 16:32:51,47.8667,88.1167,13.17,51,0,7.67
66,Tiksi,RU,2021-12-11 16:32:51,71.6872,128.8694,-14.66,98,99,5.28
67,Tasiilaq,GL,2021-12-11 16:32:52,65.6145,-37.6368,39.36,67,100,15.7
68,Lagoa,PT,2021-12-11 16:32:52,39.05,-27.9833,64.09,84,99,18.39
69,Ushuaia,AR,2021-12-11 16:32:52,-54.8,-68.3,60.46,48,40,10.36
70,Dikson,RU,2021-12-11 16:32:53,73.5069,80.5464,-14.44,83,100,6.2
71,Lahaina,US,2021-12-11 16:32:53,20.8783,-156.6825,74.95,76,62,9.48
72,Angoche,MZ,2021-12-11 16:32:53,-16.2325,39.9086,81.68,78,21,15.9
73,Eyl,SO,2021-12-11 16:32:53,7.9803,49.8164,78.12,77,20,20.69
74,Pisco,PE,2021-12-11 16:32:54,-13.7,-76.2167,71.65,73,75,6.91
75,Nalut,LY,2021-12-11 16:32:54,30.3333,10.85,55.51,43,0,9.33
76,Namibe,AO,2021-12-11 16:32:54,-15.1961,12.1522,73.18,73,84,12.91
77,Jalu,LY,2021-12-11 16:32:55,29.0331,21.5482,61.61,44,53,6.53
78,Marquette,US,2021-12-11 16:32:55,46.5333,-87.6335,28.81,94,100,18.28
79,Provideniya,RU,2021-12-11 16:32:55,64.3833,-173.3,-6.79,80,99,9.4
80,Jamestown,US,2021-12-11 16:32:21,42.097,-79.2353,62.19,86,90,14.0
81,Kinablangan,PH,2021-12-11 16:32:56,7.6947,126.5503,78.78,85,73,7.16
82,Guerrero Negro,MX,2021-12-11 16:32:56,27.9769,-114.0611,63.03,60,0,1.54
83,Ilulissat,GL,2021-12-11 16:32:56,69.2167,-51.1,24.82,39,40,5.75
84,Mehamn,NO,2021-12-11 16:32:57,71.0357,27.8492,31.33,89,95,12.15
85,Rassvet,RU,2021-12-11 16:32:57,46.8333,40.75,33.55,97,45,15.66
86,Tuatapere,NZ,2021-12-11 16:32:57,-46.1333,167.6833,44.82,78,60,4.45
87,Hofn,IS,2021-12-11 16:32:58,64.2539,-15.2082,42.71,83,70,21.61
88,Derzhavinsk,KZ,2021-12-11 16:32:58,51.1,66.3167,16.79,89,100,6.98
89,Honiara,SB,2021-12-11 16:32:59,-9.4333,159.95,78.19,88,100,0.63
90,Haines Junction,CA,2021-12-11 16:33:59,60.7522,-137.5108,10.35,67,100,11.5
91,Yellowknife,CA,2021-12-11 16:33:41,62.456,-114.3525,-5.58,90,75,18.41
92,Smithers,CA,2021-12-11 16:33:59,54.7804,-127.1743,21.52,86,75,9.22
93,Hanzhong,CN,2021-12-11 16:34:00,33.0728,107.0303,42.73,85,100,1.97
94,Saskylakh,RU,2021-12-11 16:34:00,71.9167,114.0833,-40.5,100,100,2.84
95,Lahat,ID,2021-12-11 16:34:00,-3.8,103.5333,72.91,98,100,1.66
96,Constitucion,CL,2021-12-11 16:34:01,-35.3333,-72.4167,60.57,73,96,4.79
97,Batouri,CM,2021-12-11 16:34:01,4.4333,14.3667,81.1,30,90,1.86
98,Boyolangu,ID,2021-12-11 16:34:01,-8.1181,111.8935,76.51,91,93,4.61
99,Taoudenni,ML,2021-12-11 16:34:02,22.6783,-3.9836,75.92,13,68,10.13
100,Bredasdorp,ZA,2021-12-11 16:34:02,-34.5322,20.0403,68.29,60,97,14.32
101,Rawson,AR,2021-12-11 16:34:02,-43.3002,-65.1023,82.44,33,74,9.46
102,Vila Franca Do Campo,PT,2021-12-11 16:34:03,37.7167,-25.4333,66.61,81,33,14.2
103,Barrow,US,2021-12-11 16:32:02,71.2906,-156.7887,1.42,85,90,11.5
104,Hasaki,JP,2021-12-11 16:34:03,35.7333,140.8333,39.6,63,7,7.52
105,Avarua,CK,2021-12-11 16:34:03,-21.2078,-159.775,73.45,94,99,3.44
106,Kijang,KR,2021-12-11 16:34:04,35.2442,129.2139,47.93,60,99,5.53
107,Kapit,MY,2021-12-11 16:30:19,2.0167,112.9333,73.98,100,100,0.36
108,Butaritari,KI,2021-12-11 16:34:04,3.0707,172.7902,82.99,76,63,15.59
109,Suntar,RU,2021-12-11 16:34:04,62.1444,117.6319,-20.27,96,62,5.86
110,Vaini,TO,2021-12-11 16:34:05,-21.2,-175.2,75.36,100,20,3.44
111,Grand-Lahou,CI,2021-12-11 16:34:06,5.1367,-5.0242,83.43,71,90,10.18
112,Narsaq,GL,2021-12-11 16:34:06,60.9167,-46.05,25.02,82,100,3.11
113,Makakilo City,US,2021-12-11 16:34:06,21.3469,-158.0858,72.68,77,20,5.75
114,Enid,US,2021-12-11 16:34:07,36.3956,-97.8784,39.02,61,1,7.0
115,Kaitangata,NZ,2021-12-11 16:34:07,-46.2817,169.8464,46.92,70,20,4.97
116,Mogadishu,SO,2021-12-11 16:31:14,2.0371,45.3438,79.32,80,64,18.61
117,Hualmay,PE,2021-12-11 16:34:07,-11.0964,-77.6139,72.09,73,53,12.33
118,Puerto Ayora,EC,2021-12-11 16:34:01,-0.7393,-90.3518,78.76,91,100,7.72
119,Chuy,UY,2021-12-11 16:34:08,-33.6971,-53.4616,74.52,54,14,11.1
120,Cape Town,ZA,2021-12-11 16:34:08,-33.9258,18.4232,70.12,69,20,5.01
121,Egvekinot,RU,2021-12-11 16:34:09,66.3167,-179.1667,-26.28,81,16,5.37
122,Beira,MZ,2021-12-11 16:29:13,-19.8436,34.8389,82.49,83,20,18.41
123,Channel-Port Aux Basques,CA,2021-12-11 16:30:20,47.5702,-59.1367,37.69,75,100,10.04
124,Atuona,PF,2021-12-11 16:33:24,-9.8,-139.0333,78.69,74,43,17.85
