City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
136,Avera,US,75.07,overcast clouds,33.194,-82.5271,
140,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
141,Voh,NC,84.67,light rain,-20.9667,164.7,Le gîte du Koniambo
145,Butaritari,KI,82.58,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
149,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
151,Poso,ID,76.48,broken clouds,-1.3959,120.7524,Hotel 77 Poso
153,Acarau,BR,81.1,clear sky,-2.8856,-40.12,castelo pizzaria
160,North Myrtle Beach,US,77.29,clear sky,33.816,-78.68,Avista Resort
163,Playa Del Carmen,MX,85.95,scattered clouds,20.6274,-87.0799,Hotel Kinbe
165,Luganville,VU,84.16,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
167,Robertsport,LR,82.04,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
170,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
172,Nabire,ID,77.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
173,Takoradi,GH,80.56,scattered clouds,4.8845,-1.7554,Raybow International Hotel
178,Richards Bay,ZA,76.1,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
180,Kirakira,SB,82.87,moderate rain,-10.4544,161.9205,SanBiz Lodge
181,Bucerias,MX,80.58,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
188,Pemangkat,ID,77.38,broken clouds,1.1667,108.9667,Ramah Kost KITA
190,Cabo San Lucas,MX,79.9,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
197,Hervey Bay,AU,83.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
202,Boffa,GN,79.5,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
203,Bengkulu,ID,75.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
206,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
215,Doctor Phillips,US,84.31,scattered clouds,28.4495,-81.4923,Drury Inn & Suites near Universal Orlando Resort™
216,Nieuw Amsterdam,SR,82.56,few clouds,5.8833,-55.0833,Hotel Stardust
217,Mocajuba,BR,77.97,scattered clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
222,Celestun,MX,80.85,broken clouds,20.8667,-90.4,Posada Lilia
226,Tabou,CI,80.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
227,Limbang,MY,77.31,overcast clouds,4.75,115.0,Purnama Hotel
232,Mandera,KE,82.65,clear sky,3.9366,41.867,Mwalimu Guest mandera
234,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
240,Port Blair,IN,79.47,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
243,Koumac,NC,81.23,overcast clouds,-20.5667,164.2833,Le Monitel
245,Karratha,AU,89.67,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
250,San Lorenzo,PY,88.74,broken clouds,-25.3333,-57.5333,Hotel del Sur
253,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
256,Mana,GF,77.83,overcast clouds,5.6592,-53.7767,LE SAMANA
257,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
263,Ygatimi,PY,87.12,overcast clouds,-24.0833,-55.5,
265,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
266,Kasempa,ZM,75.47,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
267,Conceicao Do Araguaia,BR,77.56,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
269,Fare,PF,80.98,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
270,Faanui,PF,80.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Kulhudhuffushi,MV,81.21,overcast clouds,6.6221,73.07,Haajy Guest House 1
273,Formosa,AR,80.58,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
278,Kavaratti,IN,80.76,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
283,Pochutla,MX,86.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
285,Charters Towers,AU,81.66,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
289,Kroya,ID,76.19,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
290,Inirida,CO,76.91,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
293,Rawson,AR,75.49,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
296,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
297,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
299,Joao Pinheiro,BR,76.35,overcast clouds,-17.7425,-46.1725,Hotel Santos
302,Kismayo,SO,80.15,few clouds,-0.3582,42.5454,Agan-Hotel
306,Pedernales,DO,81.25,clear sky,18.0384,-71.744,Hotel Costa Marina
312,Muli,MV,77.86,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
